index,block,slot,field,source_expression,causal_scope
0,global,,normalized_time,env.now / env.time_limit,aggregate_or_clock
1,global,,waiting_count,len(queue.waiting) / 50,aggregate_or_clock
2,global,,pending_arrival_count,"min(len(pending), 20) / 50",aggregate_or_clock
3,global,,active_task_ratio,len(active_tasks) / max_concurrent_tasks,aggregate_or_clock
4,global,,is_concurrent,execution_mode == CONCURRENT,aggregate_or_clock
5,global,,completed_ratio,completed / task_limit,aggregate_or_clock
6,global,,failed_ratio,failed / task_limit,aggregate_or_clock
7,global,,decision_gap,decision_gap / 10,aggregate_or_clock
8,visible_waiting_task,0,present,1,top_8_priority_deadline_age_task_id_order
9,visible_waiting_task,0,source_floor,floor / 2,top_8_priority_deadline_age_task_id_order
10,visible_waiting_task,0,target_floor,floor / 2,top_8_priority_deadline_age_task_id_order
11,visible_waiting_task,0,cross_floor,source.floor != target.floor,top_8_priority_deadline_age_task_id_order
12,visible_waiting_task,0,priority,priority / 3,top_8_priority_deadline_age_task_id_order
13,visible_waiting_task,0,waiting_age,"max(0, now-arrival) / 600",top_8_priority_deadline_age_task_id_order
14,visible_waiting_task,0,deadline_slack,"max(0, deadline-now) / 600",top_8_priority_deadline_age_task_id_order
15,visible_waiting_task,0,source_x,x / 25,top_8_priority_deadline_age_task_id_order
16,visible_waiting_task,0,source_y,y / 25,top_8_priority_deadline_age_task_id_order
17,visible_waiting_task,0,source_z,z / 5,top_8_priority_deadline_age_task_id_order
18,visible_waiting_task,0,target_x,x / 25,top_8_priority_deadline_age_task_id_order
19,visible_waiting_task,0,target_y,y / 25,top_8_priority_deadline_age_task_id_order
20,visible_waiting_task,0,target_z,z / 5,top_8_priority_deadline_age_task_id_order
21,visible_waiting_task,1,present,1,top_8_priority_deadline_age_task_id_order
22,visible_waiting_task,1,source_floor,floor / 2,top_8_priority_deadline_age_task_id_order
23,visible_waiting_task,1,target_floor,floor / 2,top_8_priority_deadline_age_task_id_order
24,visible_waiting_task,1,cross_floor,source.floor != target.floor,top_8_priority_deadline_age_task_id_order
25,visible_waiting_task,1,priority,priority / 3,top_8_priority_deadline_age_task_id_order
26,visible_waiting_task,1,waiting_age,"max(0, now-arrival) / 600",top_8_priority_deadline_age_task_id_order
27,visible_waiting_task,1,deadline_slack,"max(0, deadline-now) / 600",top_8_priority_deadline_age_task_id_order
28,visible_waiting_task,1,source_x,x / 25,top_8_priority_deadline_age_task_id_order
29,visible_waiting_task,1,source_y,y / 25,top_8_priority_deadline_age_task_id_order
30,visible_waiting_task,1,source_z,z / 5,top_8_priority_deadline_age_task_id_order
31,visible_waiting_task,1,target_x,x / 25,top_8_priority_deadline_age_task_id_order
32,visible_waiting_task,1,target_y,y / 25,top_8_priority_deadline_age_task_id_order
33,visible_waiting_task,1,target_z,z / 5,top_8_priority_deadline_age_task_id_order
34,visible_waiting_task,2,present,1,top_8_priority_deadline_age_task_id_order
35,visible_waiting_task,2,source_floor,floor / 2,top_8_priority_deadline_age_task_id_order
36,visible_waiting_task,2,target_floor,floor / 2,top_8_priority_deadline_age_task_id_order
37,visible_waiting_task,2,cross_floor,source.floor != target.floor,top_8_priority_deadline_age_task_id_order
38,visible_waiting_task,2,priority,priority / 3,top_8_priority_deadline_age_task_id_order
39,visible_waiting_task,2,waiting_age,"max(0, now-arrival) / 600",top_8_priority_deadline_age_task_id_order
40,visible_waiting_task,2,deadline_slack,"max(0, deadline-now) / 600",top_8_priority_deadline_age_task_id_order
41,visible_waiting_task,2,source_x,x / 25,top_8_priority_deadline_age_task_id_order
42,visible_waiting_task,2,source_y,y / 25,top_8_priority_deadline_age_task_id_order
43,visible_waiting_task,2,source_z,z / 5,top_8_priority_deadline_age_task_id_order
44,visible_waiting_task,2,target_x,x / 25,top_8_priority_deadline_age_task_id_order
45,visible_waiting_task,2,target_y,y / 25,top_8_priority_deadline_age_task_id_order
46,visible_waiting_task,2,target_z,z / 5,top_8_priority_deadline_age_task_id_order
47,visible_waiting_task,3,present,1,top_8_priority_deadline_age_task_id_order
48,visible_waiting_task,3,source_floor,floor / 2,top_8_priority_deadline_age_task_id_order
49,visible_waiting_task,3,target_floor,floor / 2,top_8_priority_deadline_age_task_id_order
50,visible_waiting_task,3,cross_floor,source.floor != target.floor,top_8_priority_deadline_age_task_id_order
51,visible_waiting_task,3,priority,priority / 3,top_8_priority_deadline_age_task_id_order
52,visible_waiting_task,3,waiting_age,"max(0, now-arrival) / 600",top_8_priority_deadline_age_task_id_order
53,visible_waiting_task,3,deadline_slack,"max(0, deadline-now) / 600",top_8_priority_deadline_age_task_id_order
